"[27.3784, -16.7559]",2016
"[28.0936, -16.4787]",2016
"[27.0702, -17.6654]",2016
"[27.3526, -16.9688]",2016
"[27.3593, -17.49]",2016
"[28.2884, -16.3974]",2016
"[27.279, -17.4329]",2016
"[28.7485, -16.5032]",2016
"[27.2393, -16.9373]",2016
"[27.3478, -17.345]",2016
"[27.035, -17.0752]",2016
"[26.8911, -16.9794]",2016
"[26.8076, -17.5118]",2016
"[27.7227, -16.8271]",2016
"[27.555, -17.0575]",2016
"[27.3579, -17.1384]",2016
"[27.4082, -17.2402]",2016
"[27.1188, -17.495]",2016
"[-4.181, 5.961]",2014
"[8.7906, 3.7514]",2014
"[8.7995, 3.7508]",2014
"[8.7861, 3.7566]",2014
"[8.7772, 3.7513]",2014
"[8.7852, 3.7304]",2014
"[8.7752, 3.7403]",2014
"[8.7652, 3.736]",2014
"[8.7662, 3.7448]",2014
"[8.7743, 3.7332]",2014
"[8.7624, 3.7275]",2014
"[8.7833, 3.7493]",2014
"[8.7901, 3.7455]",2014
"[8.7867, 3.7385]",2014
"[8.8124, 3.7315]",2014
"[8.8355, 3.7277]",2014
"[8.5053, 3.4465]",2014
"[8.5637, 3.4127]",2014
"[8.5538, 3.4591]",2014
"[8.8945, 3.6132]",2014
"[8.9087, 3.7018]",2014
"[8.7701, 3.7545]",2014
"[8.6858, 3.7211]",2014
"[31.4125, 1.9001]",2015
"[31.379, 1.8387]",2015
"[31.31, 1.7305]",2015
"[31.4206, 1.7586]",2015
"[31.4476, 1.7348]",2015
"[-13.5078, 16.1506]",2014
"[-13.5078, 16.1506]",2015
"[-5.6408, 9.4614]",2014
"[-5.6408, 9.4614]",2015
"[-5.0365, 7.6922]",2014
"[-5.0365, 7.6922]",2015
"[28.8136, -9.3992]",2017
"[28.8134, -9.354]",2017
"[28.7221, -9.3092]",2017
"[28.7676, -9.309]",2017
"[28.7674, -9.2638]",2017
"[28.8129, -9.2636]",2017
"[28.8136, -9.3992]",2017
"[28.8134, -9.354]",2017
"[28.7221, -9.3092]",2017
"[28.7676, -9.309]",2017
"[28.7674, -9.2638]",2017
"[28.8134, -9.354]",2017
"[28.7221, -9.3092]",2017
"[28.7676, -9.309]",2017
"[28.7674, -9.2638]",2017
"[28.8129, -9.2636]",2017
"[28.8136, -9.3992]",2017
"[28.8134, -9.354]",2017
"[28.7221, -9.3092]",2017
"[28.7676, -9.309]",2017
"[28.8131, -9.3088]",2017
"[28.7674, -9.2638]",2017
"[28.8129, -9.2636]",2017
"[28.8136, -9.3992]",2017
"[28.8134, -9.354]",2017
"[28.7221, -9.3092]",2017
"[28.7676, -9.309]",2017
"[28.8131, -9.3088]",2017
"[28.7674, -9.2638]",2017
"[28.8129, -9.2636]",2017
"[28.8136, -9.3992]",2017
"[28.7678, -9.3542]",2017
"[28.8134, -9.354]",2017
"[28.7221, -9.3092]",2017
"[28.7676, -9.309]",2017
"[28.7674, -9.2638]",2017
"[28.8129, -9.2636]",2017
"[37.0777, -6.9524]",2015
"[37.1142, -6.9705]",2015
"[37.0708, -6.9666]",2015
"[37.1085, -6.934]",2015
"[37.1085, -6.934]",2015
"[37.0806, -6.9507]",2015
"[37.0806, -6.9507]",2015
